n,x_q31_in,y_float,y_fixed,err
666,4.8684409866e-01,4.8684409866e-01,4.8684409866e-01,0.0000000000e+00
667,4.8652413208e-01,4.8652413208e-01,4.8652413208e-01,0.0000000000e+00
668,4.8620034335e-01,4.8620034335e-01,4.8620034335e-01,0.0000000000e+00
669,4.8587273294e-01,4.8587273294e-01,4.8587273294e-01,0.0000000000e+00
670,4.8554130318e-01,4.8554130318e-01,4.8554130318e-01,0.0000000000e+00
671,4.8520605499e-01,4.8520605499e-01,4.8520605499e-01,0.0000000000e+00
672,4.8486699024e-01,4.8486699024e-01,4.8486699024e-01,0.0000000000e+00
673,4.8452411033e-01,4.8452411033e-01,4.8452411033e-01,0.0000000000e+00
674,4.8417741712e-01,4.8417741712e-01,4.8417741712e-01,0.0000000000e+00
675,4.8382691154e-01,4.8382691154e-01,4.8382691154e-01,0.0000000000e+00
676,4.8347259592e-01,4.8347259592e-01,4.8347259592e-01,0.0000000000e+00
677,4.8311447119e-01,4.8311447119e-01,4.8311447119e-01,0.0000000000e+00
678,4.8275254015e-01,4.8275254015e-01,4.8275254015e-01,0.0000000000e+00
679,4.8238680325e-01,4.8238680325e-01,4.8238680325e-01,0.0000000000e+00
680,4.8201726330e-01,4.8201726330e-01,4.8201726330e-01,0.0000000000e+00
681,4.8164392170e-01,4.8164392170e-01,4.8164392170e-01,0.0000000000e+00
682,4.8126678029e-01,4.8126678029e-01,4.8126678029e-01,0.0000000000e+00
683,4.8088584049e-01,4.8088584049e-01,4.8088584049e-01,0.0000000000e+00
684,4.8050110508e-01,4.8050110508e-01,4.8050110508e-01,0.0000000000e+00
685,4.8011257546e-01,4.8011257546e-01,4.8011257546e-01,0.0000000000e+00
686,4.7972025350e-01,4.7972025350e-01,4.7972025350e-01,0.0000000000e+00
687,4.7932414152e-01,4.7932414152e-01,4.7932414152e-01,0.0000000000e+00
688,4.7892424092e-01,4.7892424092e-01,4.7892424092e-01,0.0000000000e+00
689,4.7852055449e-01,4.7852055449e-01,4.7852055449e-01,0.0000000000e+00
690,4.7811308363e-01,4.7811308363e-01,4.7811308363e-01,0.0000000000e+00
691,4.7770183114e-01,4.7770183114e-01,4.7770183114e-01,0.0000000000e+00
692,4.7728679841e-01,4.7728679841e-01,4.7728679841e-01,0.0000000000e+00
693,4.7686798824e-01,4.7686798824e-01,4.7686798824e-01,0.0000000000e+00
694,4.7644540248e-01,4.7644540248e-01,4.7644540248e-01,0.0000000000e+00
695,4.7601904348e-01,4.7601904348e-01,4.7601904348e-01,0.0000000000e+00
696,4.7558891354e-01,4.7558891354e-01,4.7558891354e-01,0.0000000000e+00
697,4.7515501501e-01,4.7515501501e-01,4.7515501501e-01,0.0000000000e+00
698,4.7471734975e-01,4.7471734975e-01,4.7471734975e-01,0.0000000000e+00
699,4.7427592054e-01,4.7427592054e-01,4.7427592054e-01,0.0000000000e+00
700,4.7383072972e-01,4.7383072972e-01,4.7383072972e-01,0.0000000000e+00
701,4.7338177962e-01,4.7338177962e-01,4.7338177962e-01,0.0000000000e+00
702,4.7292907257e-01,4.7292907257e-01,4.7292907257e-01,0.0000000000e+00
703,4.7247261135e-01,4.7247261135e-01,4.7247261135e-01,0.0000000000e+00
704,4.7201239830e-01,4.7201239830e-01,4.7201239830e-01,0.0000000000e+00
705,4.7154843574e-01,4.7154843574e-01,4.7154843574e-01,0.0000000000e+00
706,4.7108072694e-01,4.7108072694e-01,4.7108072694e-01,0.0000000000e+00
707,4.7060927376e-01,4.7060927376e-01,4.7060927376e-01,0.0000000000e+00
708,4.7013407899e-01,4.7013407899e-01,4.7013407899e-01,0.0000000000e+00
709,4.6965514496e-01,4.6965514496e-01,4.6965514496e-01,0.0000000000e+00
710,4.6917247539e-01,4.6917247539e-01,4.6917247539e-01,0.0000000000e+00
711,4.6868607216e-01,4.6868607216e-01,4.6868607216e-01,0.0000000000e+00
712,4.6819593851e-01,4.6819593851e-01,4.6819593851e-01,0.0000000000e+00
713,4.6770207677e-01,4.6770207677e-01,4.6770207677e-01,0.0000000000e+00
714,4.6720448975e-01,4.6720448975e-01,4.6720448975e-01,0.0000000000e+00
715,4.6670318069e-01,4.6670318069e-01,4.6670318069e-01,0.0000000000e+00
716,4.6619815240e-01,4.6619815240e-01,4.6619815240e-01,0.0000000000e+00
717,4.6568940766e-01,4.6568940766e-01,4.6568940766e-01,0.0000000000e+00
718,4.6517694928e-01,4.6517694928e-01,4.6517694928e-01,0.0000000000e+00
719,4.6466078050e-01,4.6466078050e-01,4.6466078050e-01,0.0000000000e+00
720,4.6414090414e-01,4.6414090414e-01,4.6414090414e-01,0.0000000000e+00
721,4.6361732343e-01,4.6361732343e-01,4.6361732343e-01,0.0000000000e+00
722,4.6309004119e-01,4.6309004119e-01,4.6309004119e-01,0.0000000000e+00
723,4.6255906066e-01,4.6255906066e-01,4.6255906066e-01,0.0000000000e+00
724,4.6202438464e-01,4.6202438464e-01,4.6202438464e-01,0.0000000000e+00
725,4.6148601687e-01,4.6148601687e-01,4.6148601687e-01,0.0000000000e+00
726,4.6094396012e-01,4.6094396012e-01,4.6094396012e-01,0.0000000000e+00
727,4.6039821766e-01,4.6039821766e-01,4.6039821766e-01,0.0000000000e+00
728,4.5984879276e-01,4.5984879276e-01,4.5984879276e-01,0.0000000000e+00
729,4.5929568866e-01,4.5929568866e-01,4.5929568866e-01,0.0000000000e+00
730,4.5873890910e-01,4.5873890910e-01,4.5873890910e-01,0.0000000000e+00
731,4.5817845687e-01,4.5817845687e-01,4.5817845687e-01,0.0000000000e+00
732,4.5761433523e-01,4.5761433523e-01,4.5761433523e-01,0.0000000000e+00
733,4.5704654837e-01,4.5704654837e-01,4.5704654837e-01,0.0000000000e+00
734,4.5647509908e-01,4.5647509908e-01,4.5647509908e-01,0.0000000000e+00
735,4.5589999063e-01,4.5589999063e-01,4.5589999063e-01,0.0000000000e+00
736,4.5532122720e-01,4.5532122720e-01,4.5532122720e-01,0.0000000000e+00
737,4.5473881206e-01,4.5473881206e-01,4.5473881206e-01,0.0000000000e+00
738,4.5415274845e-01,4.5415274845e-01,4.5415274845e-01,0.0000000000e+00
739,4.5356304059e-01,4.5356304059e-01,4.5356304059e-01,0.0000000000e+00
740,4.5296969125e-01,4.5296969125e-01,4.5296969125e-01,0.0000000000e+00
741,4.5237270463e-01,4.5237270463e-01,4.5237270463e-01,0.0000000000e+00
742,4.5177208446e-01,4.5177208446e-01,4.5177208446e-01,0.0000000000e+00
743,4.5116783446e-01,4.5116783446e-01,4.5116783446e-01,0.0000000000e+00
744,4.5055995788e-01,4.5055995788e-01,4.5055995788e-01,0.0000000000e+00
745,4.4994845893e-01,4.4994845893e-01,4.4994845893e-01,0.0000000000e+00
746,4.4933334133e-01,4.4933334133e-01,4.4933334133e-01,0.0000000000e+00
747,4.4871460879e-01,4.4871460879e-01,4.4871460879e-01,0.0000000000e+00
748,4.4809226552e-01,4.4809226552e-01,4.4809226552e-01,0.0000000000e+00
749,4.4746631524e-01,4.4746631524e-01,4.4746631524e-01,0.0000000000e+00
750,4.4683676166e-01,4.4683676166e-01,4.4683676166e-01,0.0000000000e+00
751,4.4620360853e-01,4.4620360853e-01,4.4620360853e-01,0.0000000000e+00
752,4.4556686049e-01,4.4556686049e-01,4.4556686049e-01,0.0000000000e+00
753,4.4492652128e-01,4.4492652128e-01,4.4492652128e-01,0.0000000000e+00
754,4.4428259507e-01,4.4428259507e-01,4.4428259507e-01,0.0000000000e+00
755,4.4363508560e-01,4.4363508560e-01,4.4363508560e-01,0.0000000000e+00
756,4.4298399705e-01,4.4298399705e-01,4.4298399705e-01,0.0000000000e+00
757,4.4232933410e-01,4.4232933410e-01,4.4232933410e-01,0.0000000000e+00
758,4.4167109998e-01,4.4167109998e-01,4.4167109998e-01,0.0000000000e+00
759,4.4100929983e-01,4.4100929983e-01,4.4100929983e-01,0.0000000000e+00
760,4.4034393737e-01,4.4034393737e-01,4.4034393737e-01,0.0000000000e+00
761,4.3967501679e-01,4.3967501679e-01,4.3967501679e-01,0.0000000000e+00
762,4.3900254276e-01,4.3900254276e-01,4.3900254276e-01,0.0000000000e+00
763,4.3832651945e-01,4.3832651945e-01,4.3832651945e-01,0.0000000000e+00
764,4.3764695106e-01,4.3764695106e-01,4.3764695106e-01,0.0000000000e+00
765,4.3696384225e-01,4.3696384225e-01,4.3696384225e-01,0.0000000000e+00
766,4.3627719721e-01,4.3627719721e-01,4.3627719721e-01,0.0000000000e+00
767,4.3558702013e-01,4.3558702013e-01,4.3558702013e-01,0.0000000000e+00
768,4.3489331612e-01,4.3489331612e-01,4.3489331612e-01,0.0000000000e+00
769,4.3419608893e-01,4.3419608893e-01,4.3419608893e-01,0.0000000000e+00
770,4.3349534413e-01,4.3349534413e-01,4.3349534413e-01,0.0000000000e+00
771,4.3279108545e-01,4.3279108545e-01,4.3279108545e-01,0.0000000000e+00
