N,d_mm,weighting,L_mm,BW6dB_1000Hz,SLL_1000Hz,DI_1000Hz,GratingLobe_1000Hz,d_over_lam2_1000Hz,BW6dB_2000Hz,SLL_2000Hz,DI_2000Hz,GratingLobe_2000Hz,d_over_lam2_2000Hz,BW6dB_4000Hz,SLL_4000Hz,DI_4000Hz,GratingLobe_4000Hz,d_over_lam2_4000Hz
32,25,hanning,775,52.4,-32.1,11.3,NO,0.146,25.5,-31.5,17.6,NO,0.292,12.7,-31.5,23.7,NO,0.583
32,25,dolph20,775,31.4,-20.0,15.0,NO,0.146,15.5,-20.0,19.7,NO,0.292,7.7,-20.0,21.5,NO,0.583
32,25,dolph30,775,37.6,-30.0,14.2,NO,0.146,18.5,-30.0,20.2,NO,0.292,9.2,-30.0,25.5,NO,0.583
32,30,uniform,930,24.9,-13.2,15.5,NO,0.175,12.4,-13.2,20.8,NO,0.35,6.2,-13.2,26.3,NO,0.7
32,30,hanning,930,43.2,-31.5,13.0,NO,0.175,21.2,-31.5,19.2,NO,0.35,10.6,-31.5,25.3,NO,0.7
32,30,dolph20,930,26.0,-20.0,16.8,NO,0.175,12.9,-20.0,20.2,NO,0.35,6.5,-20.0,22.3,NO,0.7
32,30,dolph30,930,31.1,-30.0,15.8,NO,0.175,15.4,-30.0,21.7,NO,0.35,7.7,-30.0,26.9,NO,0.7
32,35,uniform,1085,21.3,-13.2,17.1,NO,0.204,10.6,-13.2,22.0,NO,0.408,5.3,-13.2,27.4,NO,0.816
32,35,hanning,1085,36.8,-31.5,14.4,NO,0.204,18.2,-31.5,20.6,NO,0.408,9.1,-31.5,26.6,NO,0.816
32,35,dolph20,1085,22.3,-20.0,17.3,NO,0.204,11.1,-20.0,20.6,NO,0.408,5.5,-20.0,22.9,NO,0.816
32,35,dolph30,1085,26.6,-30.0,17.2,NO,0.204,13.2,-30.0,22.8,NO,0.408,6.6,-30.0,28.0,NO,0.816
